"scenario","p","m","n_true","n_ratio","m_ratio","method","n_rep","bias","relative_bias","rmse","posterior_sd","coverage_95","stein_loss","median_runtime","mean_runtime","mean_acceptance_rate"
"p10_m100_n80",10,100,80,8,10,"RWM",1000,1.38684762646665,0.0173355953308331,2.24465436559551,1.31329672818447,0.745,0.0101134891240893,0.989999999999782,0.997020000000013,0.038324831207802
"p20_m100_n160",20,100,160,8,5,"Collapsed",1000,2.92734664539838,0.0182959165337399,3.30980531826149,1.51509699711391,0.545,0.017145888257258,0.130000000000109,0.138080000000003,NA
"p20_m100_n160",20,100,160,8,5,"MLE",1000,1.59443418307249,0.00996521364420304,2.20894229784391,NA,NA,0.0149034620260372,0,0.000529999999995198,NA
"p20_m100_n160",20,100,160,8,5,"RWM",1000,2.92808889957536,0.018300555622346,3.50713487769272,1.21081451006137,0.346,0.0174640020802883,1.35999999999967,1.39761,0.019256064016004
"p30_m100_n240",30,100,240,8,3.33333333333333,"Collapsed",1000,4.22792669507333,0.0176163612294722,4.48206832013425,1.52643704656149,0.213,0.0244654555572593,0.159999999999854,0.161220000000015,NA
"p30_m100_n240",30,100,240,8,3.33333333333333,"MLE",1000,2.16134298483847,0.00900559577016028,2.61087518514166,NA,NA,0.0211287547897146,0,0.00114999999999873,NA
"p30_m100_n240",30,100,240,8,3.33333333333333,"RWM",1000,4.05860782449409,0.0169108659353921,4.48994529793556,1.11823316441918,0.122,0.0242546085670094,2.03000000000065,2.03860999999998,0.0128994748687172
"p3_m200_n4",3,200,4,1.33333333333333,66.6666666666667,"Collapsed",1000,0.0166405227499665,0.00416013068749162,0.110311439368653,0.108470163505319,0.95,0.00851003384614552,0.109999999999673,0.10703000000001,NA
"p3_m200_n4",3,200,4,1.33333333333333,66.6666666666667,"MLE",1000,0.0126949483706921,0.00317373709267303,0.108929921044075,NA,NA,0.00850196192027619,0,0.000269999999999527,NA
"p3_m200_n4",3,200,4,1.33333333333333,66.6666666666667,"RWM",1000,0.0189106193098357,0.00472765482745893,0.114912173292792,0.107855071249458,0.949,0.00851527614187761,0.829999999999927,0.830739999999986,0.126286321580395
"p5_m200_n6",5,200,6,1.2,40,"Collapsed",1000,0.019703898144363,0.00328398302406051,0.0900782043566451,0.0910741558474876,0.958,0.0130473175696537,0.109999999999673,0.111760000000008,NA
"p5_m200_n6",5,200,6,1.2,40,"MLE",1000,0.0131367537292963,0.00218945895488271,0.0882895602189204,NA,NA,0.0130387411582762,0,0.00037999999999829,NA
"p5_m200_n6",5,200,6,1.2,40,"RWM",1000,0.0191781954856047,0.00319636591426745,0.0956079222645346,0.0906581104442717,0.948,0.0130547869487485,0.880000000000109,0.881199999999994,0.0931380345086272
